source,family,n_values,contamination_pct,outlier_pct,false_positive_pct,disagreement_pct,adoption_pct
de_v3_1,archived,152,0.7,1.3,2.0,1.7,98.3
v3_2,archived,223,0.9,2.7,3.6,3.6,96.6
established_press,press,52,1.9,1.9,3.8,50.0,91.1
base,archived,236,3.8,0.8,4.7,1.1,98.9
filtered,archived,235,3.8,0.9,4.7,1.7,98.3
xlsx_de,archived,98,0.0,5.1,5.1,6.8,93.5
press_tavily,press,75,2.7,2.7,5.3,50.0,89.8
gemini,archived,206,4.9,1.5,6.3,3.8,96.2
mp_v32_mistral2,archived,252,5.2,1.6,6.7,6.2,93.8
mp_v32,archived,182,5.5,1.6,7.1,4.3,95.7
mp_v32_mistral,archived,278,3.6,3.6,7.2,6.8,93.3
de_v2,archived,39,0.0,7.7,7.7,16.1,84.8
wikipedia,wikipedia,101,44.6,0.0,44.6,81.8,63.6
